"filename", "language", "XML", "C#", "Markdown", "JSON", "C++", "PowerShell", "Log", "Batch", "comment", "blank", "total"
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Server.HttpSys.xml", "XML", 521, 0, 0, 0, 0, 0, 0, 0, 0, 16, 537
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Server.IIS.xml", "XML", 614, 0, 0, 0, 0, 0, 0, 0, 0, 5, 619
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Server.IISIntegration.xml", "XML", 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Server.Kestrel.Core.xml", "XML", 1973, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1978
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets.xml", "XML", 201, 0, 0, 0, 0, 0, 0, 0, 0, 1, 202
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Server.Kestrel.xml", "XML", 71, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Session.xml", "XML", 135, 0, 0, 0, 0, 0, 0, 0, 0, 1, 136
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.SignalR.Common.xml", "XML", 451, 0, 0, 0, 0, 0, 0, 0, 0, 1, 452
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.SignalR.Core.xml", "XML", 1652, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1654
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.SignalR.Protocols.Json.xml", "XML", 86, 0, 0, 0, 0, 0, 0, 0, 0, 1, 87
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.SignalR.xml", "XML", 138, 0, 0, 0, 0, 0, 0, 0, 0, 1, 139
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.StaticFiles.xml", "XML", 639, 0, 0, 0, 0, 0, 0, 0, 0, 1, 640
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.WebSockets.xml", "XML", 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
